MENUID,MENUTITLE,MENUPARENT,MENULEVEL,MENUORDER
1034,Barring,2557,3,4
1078,"Export Data",1064,3,4
1297,"New Quarter",1293,3,4
1373,"EFT Batching",1096,3,4
1439,Profile,1051,3,4
1477,"List of Investment - Rejected",1494,3,4
1478,"Sponsor Student",1149,3,4
1580,"Edit Application",1574,3,4
1649,RAIIS,1641,3,4
1754,"Bankin Slip Data Listing",1748,3,4
1769,"4.Study and Fee Information",1657,3,4
1844,"Outstanding Invoice",1736,3,4
1873,"Upload Bank Statement",1869,3,4
1910,"Doubtful Debt",2679,3,4
1921,"Account Code Mapping",1664,3,4
1943,"List Of Status Blacklist Vendor",1922,3,4
1944,Info,1922,3,4
1974,"Expenditure Management by Object Code for the Month",1966,3,4
2005,"Cash Book",1969,3,4
2178,"Generate Schedule",2149,3,4
2518,"Generate Bill",2149,3,4
2925,"Buka peti",2822,3,4
2950,"Upload DCA",2947,3,4
3122,"Cash Flow",2966,3,4
3216,"PRE - PR To Be Cancel Detail",3168,3,4
3233,"Approval for Investment",3225,3,4
3265,"Credit Note Cancellation Form",3241,3,4
3273,"Evaluation Detail",2826,3,4
3340,Bonus,1250,3,4
1599,"Loan Category",1577,3,4
1920,"Payroll Batching Form",1904,3,4
3132,"Application by Loan Type",1602,3,4
1512,"View Profile",1019,3,5
1079,"Generate Data for Refund",1064,3,5
1333,"Structure Budget",1293,3,5
1385,"EFT Download Text File",1096,3,5
1430,"Fund Type",1405,3,5
1650,SAM,1641,3,5
1738,"Receipt Approval",1044,3,5
1759,"Invoice Listing",1748,3,5
1770,"5.Confirmation of Payment Received",1657,3,5
1808,"List of Account Code",2211,3,5
1937,"Non-Invoice Structure Form",1786,3,5
1951,"View Trial Balance ",1950,3,5
2054,"Budget by Type",1966,3,5
2106,"Pembayaran Bil dan Tuntutan",1969,3,5
2111,"Receipt Collection Entry Form",1047,3,5
2284,"Discount Note",2312,3,5
2602,"Student Registration Barring Information",2557,3,5
2635,"Restricted Tendor",1938,3,5
2668,"Generate Schedule BOC",2254,3,5
3220,"PRE - PR To Be Cancel Partial List",3168,3,5
3417,"Evaluation Criteria",2826,3,5
1600,"New Loan Category",1577,3,5
2630,"Confirmation Payment",1982,3,5
3134,"Application Processed by Loan Commitee",1602,3,5
1068,"Sponsor Details",1149,3,6
1080,"Generate Data for Inv. Renewal",1064,3,6
1381,"EFT Transfer",1096,3,6
1466,"Tax Group",1461,3,6
1692,"JPP Project Details",1641,3,6
1775,"6.Outstanding Letter",1657,3,6
1777,"Recurring Invoice Data Listing",1748,3,6
2071,"Performance Expenses by Fund",1966,3,6
2091,"Reset Password",1922,3,6
2140,"Approval Offline Receipt",1047,3,6
2410,"Journal Bill Cancel Details",2377,3,6
2418,"Voucher Details",1818,3,6
2478,"Budget Planning Listing ",1574,3,6
2484,"Student Micro Credit Loan",1664,3,6
2646,"Report Barring",2557,3,6
2745,"Report Barring",2557,3,6
2862,"BOC Account Statement",2254,3,6
2957,"Comment Details",2947,3,6
3221,"PRE - PR To Be Cancel Partial Detail",3168,3,6
3422,"Evaluation Mark",2826,3,6
1617,"Insurance Type",1577,3,6
1708,"Overtime Limit",1659,3,6
1830,"Laporan Bulanan",1602,3,6
2288,"Payment In Advance Details",2285,3,6
2460,"Request Refund",2000,3,6
2585,"Change Method",1703,3,6
1380,"EFT Cancel",1096,3,7
1419,"Create Investment Type & GL Code",1405,3,7
1535,"Petty Cash Recoupment Approval",1097,3,7
1540,"Budget Planning Setup",1293,3,7
1671,"Donation / Special Category",1668,3,7
1693,"Project Profile Details",2276,3,7
1774,"Invoice Processing",1040,3,7
1776,"7.Tuition Fees",1657,3,7
2316,"Screening Emolumen Report",1966,3,7
2328,"Voucher Replace Details",1818,3,7
2356,"Receipt on Behalf Approval",1044,3,7
2375,"Floating Point for Profile Setup",2210,3,7
2461,"Bill View",2377,3,7
2477,"Budget Planning V2",1574,3,7
2541,"View Other Deduction",1695,3,7
2632,"Report Hutang By PTJ UUM",2292,3,7
2764,"Report Barring Student Offered",2557,3,7
2969,"Listing Posting (BOC)",2254,3,7
2975,"Payment History",2947,3,7
1618,"License Class",1577,3,7
1625,"View Loan Application",1616,3,7
2004,"Payment In Advance Details",2000,3,7
2032,Reminder,1982,3,7
2095,"Laporan Tahunan",1602,3,7
2394,"Payment In Advance Details",2382,3,7
2522,"List of Refund Application (Portal)",2382,3,7
1181,"Others Payment",1096,3,8
1426,"Update Investment Type & GL Code",1405,3,8
1479,"Sponsor Student Details",1149,3,8
1503,"Sponsor Details",1149,3,8
1615,"Project Profile So Code",2210,3,8
2051,"Loan Modification",1130,3,8
2374,"Voucher Details",1818,3,8
2548,"Purchase Requisition Cancellation",2319,3,8
2634,"Report Pergerakan Hutang UUM ",2292,3,8
2725,"Selection Detail",2826,3,8
2739,"Renew Vendor",1922,3,8
2811,"Laporan Prestasi Pembayaran Bill",1969,3,8
3244,"Bill Registration Edisi 2",2377,3,8
3332,"Payslip From MyFis Lite",1051,3,8
1621,"Loan Processing Fee",1577,3,8
1629,"Workflow Loan Application for Vehicle",1616,3,8
1925,"Working Hours",1659,3,8
2050,"Payment In Advance Details (Draft)",2000,3,8
2302,"Payment In Advance Details",2299,3,8
2464,"Request Refund",2382,3,8
3274,"Laporan Pinjaman dan Pecahan Caj Perkhidmatan",1602,3,8
2349,"Student Account Statement",1703,3,8
1492,"Approval For Invoice",1064,3,9
1929,"Journal New",1140,3,9
2052,"Loan Modification Workflow",1130,3,9
2147,"Revenue Item Account Code",1040,3,9
2501,"Counter data Listing",1047,3,9
2607,Listing,1896,3,9
2650,"Edit Project Profile",2210,3,9
1579,Blacklist,1577,3,9
1620,"Workflow Loan Application for Computer & Smart Phone",1616,3,9
2077,"List of Refund Application (Portal)",2000,3,9
2485,"Payment In Advance Details (Draft)",2285,3,9
3282,"Laporan Pinjaman <Komputer/Kenderaan>",1602,3,9
1434,"GL Code Setup",1405,3,10
1501,"Tag Sponsor to Student",1064,3,10
1502,V2_SFSP_TSTS_FORM,1149,3,10
1749,"AR Invoice Data Listing",1748,3,10
1931,"Journal Details",1140,3,10
2148,"Revenue Item Account Code Form",1040,3,10
2806,"Statement Detail",2292,3,10
1948,"Position Allowed to Overtime Claim",1659,3,10
2396,"Payment In Advance Details (Draft)",2382,3,10
3293,"Lampiran A - Penyata Tabung Pusingan",1602,3,10
1640,"Update Loan Information",1130,3,11
1781,"CN Data Listing",1748,3,11
1989,"PCB Calculator",1481,3,11
3214,"Dasar Baru / One Off Form",1574,3,11
2653,"Status Application Portal",2000,3,11
2655,"Print Application Student (Portal)",2000,3,11
3276,"Loan Fund",1577,3,11
3294,"Lampiran B - Penyata Pengiraan Kelayakan",1602,3,11
1406,"Institution Information",1405,3,12
1459,"Voucher Registration PY",1140,3,12
1536,"SFSI Approval For Invoice",1149,3,12
1785,"DC data Listing",1748,3,12
2516,"Budget Emolumen Per Individual",1966,3,12
3101,"Laporan JPKA",1969,3,12
3373,"Tender Cancellation Detail",2826,3,12
3295,"Penyata Potongan Gaji (Lampiran C)",1602,3,12
1447,"Update Institution Information",1405,3,13
1460,"Voucher Registration Details PY",1140,3,13
1788,"DN data Listing",1748,3,13
2156,"Penyata Perbelanjaan Pengajian Lanjutan",1481,3,13
2658,"Print BRF By Batch",2000,3,13
3326,"Loan Balance Confirmation as at 31 Dec",1602,3,13
1865,"Open Payment List",1748,3,14
2021,"Advance Payment Process",1149,3,14
2076,"Sponsorship Account Statement",1149,3,14
2719,"Activity Recoupment",1097,3,14
3163,Semakan,1969,3,14
3333,"Laporan Potongan Bulanan",1602,3,14
1890,"Sponsor Details",1736,3,15
1964,"Unsuccessful Open Payment List",1748,3,15
2044,"Reversal Journal Details",2135,3,15
2049,"Advance Payment Journal Approval",1149,3,15
2503,"Integration Allowance",1481,3,15
3251,"Laporan Perbelanjaan Mengikut Bahagian",1966,3,15
3334,"Loan Ageing",1602,3,15
1837,"Good Receive Note Details",2087,3,16
2294,"Receipt Cancel Data Listing",1748,3,16
3252,"Laporan Perbezaan Budget Summary vs P&L",1966,3,16
1846,Cart,1736,3,17
2088,"Reverse Journal Details",2135,3,17
2170,"Journal Advance Knockoff Details",1149,3,17
3219,"Official Receipt Listing",1748,3,17
1525,"Fee Structure Form",1061,3,18
1569,V2_SFS_DISCOUNT_FORM,1059,3,18
2169,"Journal Advance Knockoff",1149,3,18
3354,Commitment,1966,3,18
3418,"Receipt MyFis Lite Listing",1748,3,18
2354,"Advance Payment Transfer To Student",1149,3,19
3364,Perjawatan,1966,3,19
1912,"Non-fee Structure Form",1061,3,20
2395,"Student Journal Approval by One Off",1149,3,20
3292,"Form Loan Payment Information ",1130,3,24
2521,"Refund Setup",1664,3,61
